entry_date,entry_spx,entry_vix,d5_spx,d5_vix,d5_drift,d5_pct,d5_date,d5_max_drift,d7_spx,d7_vix,d7_drift,d7_pct,d7_date,d7_max_drift,d10_spx,d10_vix,d10_drift,d10_pct,d10_date,d10_max_drift,d12_spx,d12_vix,d12_drift,d12_pct,d12_date,d12_max_drift,d14_spx,d14_vix,d14_drift,d14_pct,d14_date,d14_max_drift
2023-01-27,4070.56,18.51,4136.48,18.33,65.91999999999962,1.6194331983805574,2023-02-03,109.20000000000027,4164.0,18.66,93.44000000000005,2.2955072520734263,2023-02-07,109.20000000000027,4090.46,20.53,19.90000000000009,0.48887622341889303,2023-02-10,109.20000000000027,4136.13,18.91,65.57000000000016,1.6108348728430526,2023-02-14,109.20000000000027,4090.41,20.17,19.84999999999991,0.48764789119924307,2023-02-16,109.20000000000027
2023-02-03,4136.48,18.33,4090.46,20.53,46.01999999999953,1.1125401307391678,2023-02-10,54.97999999999956,4136.13,18.91,0.3499999999994543,0.008461300429337367,2023-02-14,54.97999999999956,4079.09,20.02,57.38999999999942,1.3874115189726393,2023-02-17,57.38999999999942,3991.05,22.29,145.42999999999938,3.515791204115562,2023-02-22,145.42999999999938,3970.04,21.67,166.4399999999996,4.023710981317439,2023-02-24,166.4399999999996
2023-03-03,4045.64,18.49,3861.59,24.8,184.04999999999973,4.549342007692225,2023-03-10,184.04999999999973,3919.29,23.73,126.34999999999991,3.1231152549411196,2023-03-14,189.87999999999965,3916.64,25.51,129.0,3.1886178701021346,2023-03-17,189.87999999999965,4002.87,21.38,42.76999999999998,1.0571874907307617,2023-03-21,189.87999999999965,3948.72,22.61,96.92000000000007,2.395665457134102,2023-03-23,189.87999999999965
2023-03-31,4109.31,18.7,4109.11,18.97,0.2000000000007276,0.004866997135789891,2023-04-10,18.93000000000029,4091.95,19.09,17.360000000000582,0.42245535138503987,2023-04-12,18.93000000000029,4151.32,16.95,42.00999999999931,1.0223127483689305,2023-04-17,42.00999999999931,4154.52,16.46,45.210000000000036,1.1001847025413034,2023-04-19,45.55999999999949,4133.52,16.77,24.210000000000036,0.5891500032852239,2023-04-21,45.55999999999949
2023-04-14,4137.64,17.07,4133.52,16.77,4.119999999999891,0.0995736700147884,2023-04-21,17.229999999999563,4071.63,18.76,66.01000000000022,1.595353873222422,2023-04-25,66.01000000000022,4169.48,15.78,31.839999999999236,0.7695207896288521,2023-04-28,81.65000000000055,4119.58,17.78,18.0600000000004,0.43648069914251597,2023-05-02,81.65000000000055,4061.22,20.09,76.42000000000053,1.8469465685753357,2023-05-04,81.65000000000055
2023-04-21,4133.52,16.77,4169.48,15.78,35.95999999999913,0.8699607114517196,2023-04-28,77.53000000000065,4119.58,17.78,13.94000000000051,0.33724283419459705,2023-05-02,77.53000000000065,4136.25,17.19,2.7299999999995634,0.06604540440108099,2023-05-05,77.53000000000065,4119.17,17.71,14.350000000000364,0.3471617410826695,2023-05-09,77.53000000000065,4130.62,16.93,2.9000000000005457,0.07015812189128262,2023-05-11,77.53000000000065
2023-04-28,4169.48,15.78,4136.25,17.19,33.22999999999956,0.7969818778360748,2023-05-05,108.25999999999976,4119.17,17.71,50.30999999999949,1.2066252866064713,2023-05-09,108.25999999999976,4124.08,17.03,45.399999999999636,1.0888647984880522,2023-05-12,108.25999999999976,4109.9,17.99,59.57999999999993,1.4289551694695726,2023-05-16,108.25999999999976,4198.05,16.05,28.57000000000062,0.685217341251202,2023-05-18,108.25999999999976
2023-05-05,4136.25,17.19,4124.08,17.03,12.170000000000073,0.29422786340284246,2023-05-12,17.079999999999927,4109.9,17.99,26.350000000000364,0.6370504684194709,2023-05-16,26.350000000000364,4191.98,16.81,55.72999999999956,1.3473556965850606,2023-05-19,61.80000000000018,4145.58,18.53,9.329999999999927,0.22556663644605446,2023-05-23,61.80000000000018,4151.28,19.14,15.029999999999745,0.3633726201269204,2023-05-25,61.80000000000018
2023-05-12,4124.08,17.03,4191.98,16.81,67.89999999999964,1.646427809353835,2023-05-19,73.97000000000025,4145.58,18.53,21.5,0.5213283932416442,2023-05-23,73.97000000000025,4205.45,17.95,81.36999999999989,1.973046109677792,2023-05-26,81.36999999999989,4179.83,17.94,55.75,1.3518166475917055,2023-05-31,81.44000000000051,4282.37,14.6,158.28999999999996,3.83818936587069,2023-06-02,158.28999999999996
2023-05-19,4191.98,16.81,4205.45,17.95,13.470000000000255,0.3213278689306785,2023-05-26,76.73999999999978,4179.83,17.94,12.149999999999636,0.2898391690799965,2023-05-31,76.73999999999978,4273.79,14.73,81.8100000000004,1.9515837384720445,2023-06-05,90.39000000000033,4267.52,13.94,75.54000000000087,1.8020124141813865,2023-06-07,91.8700000000008,4298.86,13.83,106.88000000000011,2.5496304848782705,2023-06-09,106.88000000000011
